見出し,読み,原型,品詞,品詞細分類,意味情報,大見出し,中見出し,小見出し,見出し番号,文番号
に,に,に,助詞,格助詞,NIL,１マントにんぎょうのまき,,,0,9
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,,,0,9
よく,よく,よく,副詞,*,代表表記:良く/よく,１マントにんぎょうのまき,,,0,9
こんなふうに,こんなふうに,こんなふうに,指示詞,副詞形態指示詞,NIL,１マントにんぎょうのまき,,,0,9
いって,いって,いく,動詞,*,代表表記:行く/いく ドメイン:交通 反義:動詞:帰る/かえる 付属動詞候補（タ系）,１マントにんぎょうのまき,,,0,9
きか,きか,きく,動詞,*,代表表記:利く/きく,１マントにんぎょうのまき,,,0,9
せる,せる,せる,接尾辞,動詞性接尾辞,代表表記:せる/せる,１マントにんぎょうのまき,,,0,9
のでした,のでした,のだ,助動詞,*,NIL,１マントにんぎょうのまき,,,0,9
。,。,。,特殊,句点,NIL,１マントにんぎょうのまき,,,0,9
「,「,「,特殊,括弧始,NIL,１マントにんぎょうのまき,,,0,10
林,はやし,林,名詞,人名,人名:日本:姓:21:0.00419,１マントにんぎょうのまき,,,0,10
さん,さん,さん,接尾辞,名詞性名詞接尾辞,代表表記:さん/さん,１マントにんぎょうのまき,,,0,10
は,は,は,助詞,副助詞,NIL,１マントにんぎょうのまき,,,0,10
かわりもの,かわりもの,かわりもの,名詞,普通名詞,代表表記:変わり者/かわりもの カテゴリ:抽象物,１マントにんぎょうのまき,,,0,10
だ,だ,だ,判定詞,*,NIL,１マントにんぎょうのまき,,,0,10
が,が,が,助詞,接続助詞,NIL,１マントにんぎょうのまき,,,0,10
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,,,0,10
けっして,けっして,けっして,副詞,*,代表表記:決して/けっして,１マントにんぎょうのまき,,,0,10
わるい,わるい,わるい,形容詞,*,代表表記:悪い/わるい 反義:形容詞:良い/よい,１マントにんぎょうのまき,,,0,10
人,じん,人,名詞,普通名詞,代表表記:人/じん カテゴリ:人 漢字読み:音,１マントにんぎょうのまき,,,0,10
じゃ,じゃ,だ,判定詞,*,NIL,１マントにんぎょうのまき,,,0,10
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,１マントにんぎょうのまき,,,0,10
。,。,。,特殊,句点,NIL,１マントにんぎょうのまき,,,0,10
たいへん,たいへん,たいへん,副詞,*,代表表記:大変/たいへん,１マントにんぎょうのまき,,,0,11
ちえ,ちえ,ちえ,名詞,普通名詞,代表表記:知恵/ちえ カテゴリ:抽象物,１マントにんぎょうのまき,,,0,11
が,が,が,助詞,格助詞,NIL,１マントにんぎょうのまき,,,0,11
ある,ある,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,１マントにんぎょうのまき,,,0,11
のだ,のだ,のだ,助動詞,*,NIL,１マントにんぎょうのまき,,,0,11
よ,よ,よ,助詞,終助詞,NIL,１マントにんぎょうのまき,,,0,11
。,。,。,特殊,句点,NIL,１マントにんぎょうのまき,,,0,11
その,その,その,指示詞,連体詞形態指示詞,NIL,１マントにんぎょうのまき,,,0,12
ちえ,ちえ,ちえ,名詞,普通名詞,代表表記:知恵/ちえ カテゴリ:抽象物,１マントにんぎょうのまき,,,0,12
で,で,だ,判定詞,*,NIL,１マントにんぎょうのまき,,,0,12
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,,,0,12
いろいろ,いろいろ,いろいろ,副詞,*,代表表記:色々/いろいろ,１マントにんぎょうのまき,,,0,12
ふしぎな,ふしぎな,ふしぎだ,形容詞,*,代表表記:不思議だ/ふしぎだ,１マントにんぎょうのまき,,,0,12
こと,こと,こと,名詞,形式名詞,NIL,１マントにんぎょうのまき,,,0,12
を,を,を,助詞,格助詞,NIL,１マントにんぎょうのまき,,,0,12
やって,やって,やる,動詞,*,代表表記:やる/やる 付属動詞候補（タ系）,１マントにんぎょうのまき,,,0,12
み,み,みる,接尾辞,動詞性接尾辞,代表表記:みる/みる,１マントにんぎょうのまき,,,0,12
せる,せる,せる,接尾辞,動詞性接尾辞,代表表記:せる/せる,１マントにんぎょうのまき,,,0,12
ので,ので,のだ,助動詞,*,NIL,１マントにんぎょうのまき,,,0,12
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,,,0,12
まほうつかい,まほうつかい,まほうつかい,名詞,普通名詞,代表表記:魔法使い/まほうつかい カテゴリ:人,１マントにんぎょうのまき,,,0,12
の,の,だ,判定詞,*,NIL,１マントにんぎょうのまき,,,0,12
ように,ように,ようだ,助動詞,*,NIL,１マントにんぎょうのまき,,,0,12
みえる,みえる,みえる,動詞,*,代表表記:見える/みえる 自他動詞:他:見る/みる,１マントにんぎょうのまき,,,0,12
だけ,だけ,だけ,助詞,副助詞,NIL,１マントにんぎょうのまき,,,0,12
な,な,だ,判定詞,*,NIL,１マントにんぎょうのまき,,,0,12
の,の,のだ,助動詞,*,NIL,１マントにんぎょうのまき,,,0,12
さ,さ,さ,助詞,終助詞,NIL,１マントにんぎょうのまき,,,0,12
」,」,」,特殊,括弧終,NIL,１マントにんぎょうのまき,,,0,12
たけし,たけし,たけし,名詞,人名,人名:日本:名:974:0.00018,１マントにんぎょうのまき,,,0,12
くん,くん,くん,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,１マントにんぎょうのまき,,,0,12
も,も,も,助詞,副助詞,NIL,１マントにんぎょうのまき,,,0,12
きみ子,きみ子,きみ子,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,１マントにんぎょうのまき,,,0,12
ちゃん,ちゃん,ちゃん,接尾辞,名詞性名詞接尾辞,代表表記:ちゃん/ちゃん,１マントにんぎょうのまき,,,0,12
も,も,も,助詞,副助詞,NIL,１マントにんぎょうのまき,,,0,12
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,,,0,12
