見出し,読み,原型,品詞,品詞細分類,意味情報,大見出し,中見出し,小見出し,見出し番号,文番号
が,が,が,助詞,格助詞,NIL,,（上）事実,,0,6
いい,いい,いい,形容詞,*,代表表記:良い/よい 反義:形容詞:悪い/わるい,,（上）事実,,0,6
のだろう,のだろう,のだ,助動詞,*,NIL,,（上）事実,,0,6
。,。,。,特殊,句点,NIL,,（上）事実,,0,6
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,,（上）事実,,0,7
は,は,は,助詞,副助詞,NIL,,（上）事実,,0,7
その,その,その,指示詞,連体詞形態指示詞,NIL,,（上）事実,,0,7
晩,ばん,晩,名詞,時相名詞,代表表記:晩/ばん カテゴリ:時間 漢字読み:音,,（上）事実,,0,7
も,も,も,助詞,副助詞,NIL,,（上）事実,,0,7
、,、,、,特殊,読点,NIL,,（上）事実,,0,7
例,れい,例,名詞,普通名詞,代表表記:例/れい カテゴリ:抽象物 漢字読み:音,,（上）事実,,0,7
に,に,に,助詞,格助詞,NIL,,（上）事実,,0,7
よって,よって,よる,動詞,*,代表表記:因る/よる,,（上）事実,,0,7
、,、,、,特殊,読点,NIL,,（上）事実,,0,7
一杯の,いっぱいの,一杯だ,形容詞,*,代表表記:一杯だ/いっぱいだ,,（上）事実,,0,7
冷し,ひやし,冷し,名詞,普通名詞,代表表記:冷やし/ひやしv 反義:動詞:温める/あたためる;動詞:暖める/あたためる 自他動詞:自:冷える/ひえる 連用形名詞化:冷やす/ひやす,,（上）事実,,0,7
コーヒー,こーひー,コーヒー,名詞,普通名詞,代表表記:珈琲/こーひー ドメイン:料理・食事 カテゴリ:人工物-食べ物,,（上）事実,,0,7
を,を,を,助詞,格助詞,NIL,,（上）事実,,0,7
十,じゅう,十,名詞,数詞,カテゴリ:数量,,（上）事実,,0,7
分,ふん,分,接尾辞,名詞性名詞助数辞,代表表記:分/ふん カテゴリ:時間 準内容語,,（上）事実,,0,7
も,も,も,助詞,副助詞,NIL,,（上）事実,,0,7
