見出し,読み,原型,品詞,品詞細分類,意味情報,大見出し,中見出し,小見出し,見出し番号,文番号
あり,あり,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,,,,0,78
ます,ます,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,,,,0,78
ね,ね,ね,助詞,終助詞,NIL,,,,0,78
、,、,、,特殊,読点,NIL,,,,0,78
あれ,あれ,あれ,指示詞,名詞形態指示詞,NIL,,,,0,78
を,を,を,助詞,格助詞,NIL,,,,0,78
彼独得,彼独得,彼独得,未定義語,その他,未知語:漢字 品詞推定:名詞,,,,0,78
の,の,の,助詞,接続助詞,NIL,,,,0,78
工夫,くふう,工夫,名詞,サ変名詞,代表表記:工夫/くふう カテゴリ:抽象物,,,,0,78
に,に,に,助詞,格助詞,NIL,,,,0,78
よって,よって,よる,動詞,*,代表表記:因る/よる,,,,0,78
、,、,、,特殊,読点,NIL,,,,0,78
異常に,いじょうに,異常だ,形容詞,*,代表表記:異常だ/いじょうだ 反義:形容詞:正常だ/せいじょうだ,,,,0,78
大きく,おおきく,大きい,形容詞,*,代表表記:大きい/おおきい 反義:形容詞:小さい/ちいさい,,,,0,78
する,する,する,接尾辞,動詞性接尾辞,代表表記:する/する,,,,0,78
装置,そうち,装置,名詞,普通名詞,代表表記:装置/そうち カテゴリ:人工物-その他,,,,0,78
を,を,を,助詞,格助詞,NIL,,,,0,78
作った,つくった,作る,動詞,*,代表表記:作る/つくる,,,,0,78
のです,のです,のだ,助動詞,*,NIL,,,,0,78
。,。,。,特殊,句点,NIL,,,,0,78
そして,そして,そして,接続詞,*,代表表記:そして/そして,,,,0,79
、,、,、,特殊,読点,NIL,,,,0,79
そこ,そこ,そこ,指示詞,名詞形態指示詞,NIL,,,,0,79
へ,へ,へ,助詞,格助詞,NIL,,,,0,79
彼,かれ,彼,名詞,普通名詞,代表表記:彼/かれ カテゴリ:人 漢字読み:訓,,,,0,79
自身,じしん,自身,名詞,普通名詞,代表表記:自身/じしん カテゴリ:人,,,,0,79
の,の,の,助詞,接続助詞,NIL,,,,0,79
顔,かお,顔,名詞,普通名詞,代表表記:顔/かお カテゴリ:動物-部位 漢字読み:訓,,,,0,79
を,を,を,助詞,格助詞,NIL,,,,0,79
映した,うつした,映す,動詞,*,代表表記:写す/うつす 自他動詞:自:写る/うつる,,,,0,79
のです,のです,のだ,助動詞,*,NIL,,,,0,79
。,。,。,特殊,句点,NIL,,,,0,79
聞いて,きいて,聞く,動詞,*,代表表記:聞く/きく 自他動詞:自:聞こえる/きこえる 補文ト,,,,0,80
みれば,みれば,みる,接尾辞,動詞性接尾辞,代表表記:みる/みる,,,,0,80
なんでもない,なんでもない,なんでもない,形容詞,*,代表表記:何でも無い/なんでもない,,,,0,80
こと,こと,こと,名詞,形式名詞,NIL,,,,0,80
です,です,だ,判定詞,*,NIL,,,,0,80
が,が,が,助詞,接続助詞,NIL,,,,0,80
、,、,、,特殊,読点,NIL,,,,0,80
可,か,可,名詞,普通名詞,代表表記:可/か カテゴリ:抽象物 漢字読み:音,,,,0,80
なり,なり,なり,名詞,普通名詞,代表表記:なり/なり カテゴリ:抽象物,,,,0,80
驚か,おどろか,驚く,動詞,*,代表表記:驚く/おどろく,,,,0,80
せる,せる,せる,接尾辞,動詞性接尾辞,代表表記:せる/せる,,,,0,80
もの,もの,もの,名詞,形式名詞,NIL,,,,0,80
