単語a,単語aの品詞,単語b,単語bの品詞,共起頻度,単語aの出現頻度,単語bの出現頻度,単語aと単語bの和集合,Jaccard係数,Dice係数,Simpson係数,相互情報量
明智探偵,固有名詞,死にものぐるい,名詞,1,362,2,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
明智探偵,固有名詞,段,名詞,1,362,2,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
わすれ,名詞,明智探偵,固有名詞,1,2,362,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
怪人二十面相,固有名詞,門脇,名詞,1,543,2,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
午前,名詞,明智探偵,固有名詞,1,2,362,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
こ,名詞,怪人二十面相,固有名詞,1,5,543,547,0.0018281535648994515,0.0036496350364963502,0.2,2.2537051675174493
あす,名詞,怪人二十面相,固有名詞,1,8,543,550,0.0018181818181818182,0.003629764065335753,0.125,1.5756332624048117
明智探偵,固有名詞,笑い,名詞,1,362,4,365,0.0027397260273972603,0.00546448087431694,0.25,3.160595763125968
手まねき,名詞,明智探偵,固有名詞,1,2,362,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
明智探偵,固有名詞,非難,名詞,1,362,1,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
中学校,名詞,怪人二十面相,固有名詞,1,3,543,545,0.001834862385321101,0.003663003663003663,0.3333333333333333,2.9906707616836554
しめ,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
怪人二十面相,固有名詞,死,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
また,名詞,怪人二十面相,固有名詞,1,2,543,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
信用,名詞,明智探偵,固有名詞,1,4,362,365,0.0027397260273972603,0.00546448087431694,0.25,3.160595763125968
とび,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
ポン,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
明智探偵,固有名詞,面前,名詞,1,362,2,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
はしご,名詞,怪人二十面相,固有名詞,1,5,543,547,0.0018281535648994515,0.0036496350364963502,0.2,2.2537051675174493
地上,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
シイ,名詞,怪人二十面相,固有名詞,1,2,543,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
庁,名詞,明智探偵,固有名詞,1,19,362,380,0.002631578947368421,0.005249343832020997,0.05263157894736842,0.9126682496823822
明智探偵,固有名詞,石門,名詞,1,362,2,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
友人,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
明智探偵,固有名詞,書きもの,名詞,1,362,1,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
一挙一動,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
位置,名詞,明智探偵,固有名詞,1,4,362,365,0.0027397260273972603,0.00546448087431694,0.25,3.160595763125968
こんき,名詞,明智探偵,固有名詞,1,2,362,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
明智探偵,固有名詞,訪問,名詞,1,362,3,364,0.0027472527472527475,0.005479452054794521,0.3333333333333333,3.5756332624048115
やしき,名詞,怪人二十面相,固有名詞,1,8,543,550,0.0018181818181818182,0.003629764065335753,0.125,1.5756332624048117
侮辱,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
怪人二十面相,固有名詞,死がい,名詞,1,543,2,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
弁護,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
