表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
きまり,名詞,一般,*,*,*,*,きまり,キマリ,キマリ,< 章なし >,0,57
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >,0,57
悪い,形容詞,自立,*,*,形容詞・アウオ段,基本形,悪い,ワルイ,ワルイ,< 章なし >,0,57
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,< 章なし >,0,57
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,< 章なし >,0,57
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,< 章なし >,0,57
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,57
殊,名詞,一般,*,*,*,*,殊,コト,コト,< 章なし >,0,57
勝気,名詞,形容動詞語幹,*,*,*,*,勝気,カチキ,カチキ,< 章なし >,0,57
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,< 章なし >,0,57
顔つき,名詞,一般,*,*,*,*,顔つき,カオツキ,カオツキ,< 章なし >,0,57
で,助詞,格助詞,一般,*,*,*,で,デ,デ,< 章なし >,0,57
帰っ,動詞,自立,*,*,五段・ラ行,連用タ接続,帰る,カエッ,カエッ,< 章なし >,0,57
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,57
来,動詞,非自立,*,*,カ変・来ル,連用形,来る,キ,キ,< 章なし >,0,57
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,57
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,57
無論,副詞,一般,*,*,*,*,無論,ムロン,ムロン,< 章なし >,0,58
服装,名詞,一般,*,*,*,*,服装,フクソウ,フクソー,< 章なし >,0,58
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,58
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,58
前日,名詞,副詞可能,*,*,*,*,前日,ゼンジツ,ゼンジツ,< 章なし >,0,58
家,名詞,接尾,一般,*,*,*,家,カ,カ,< 章なし >,0,58
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,58
出,動詞,自立,*,*,一段,連用形,出る,デ,デ,< 章なし >,0,58
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,58
時,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,< 章なし >,0,58
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,58
とおり,名詞,非自立,副詞可能,*,*,*,とおり,トオリ,トーリ,< 章なし >,0,58
換え,動詞,自立,*,*,一段,連用形,換える,カエ,カエ,< 章なし >,0,58
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,58
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,< 章なし >,0,58
し,助詞,接続助詞,*,*,*,*,し,シ,シ,< 章なし >,0,58
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,58
つけ髭,名詞,一般,*,*,*,*,つけ髭,ツケヒゲ,ツケヒゲ,< 章なし >,0,58
も,助詞,係助詞,*,*,*,*,も,モ,モ,< 章なし >,0,58
とっ,動詞,自立,*,*,五段・ラ行,連用タ接続,とる,トッ,トッ,< 章なし >,0,58
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,58
ある,動詞,非自立,*,*,五段・ラ行,基本形,ある,アル,アル,< 章なし >,0,58
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,58
いつも,副詞,一般,*,*,*,*,いつも,イツモ,イツモ,< 章なし >,0,59
なら,助動詞,*,*,*,特殊・ダ,仮定形,だ,ナラ,ナラ,< 章なし >,0,59
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,59
細君,名詞,一般,*,*,*,*,細君,サイクン,サイクン,< 章なし >,0,59
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,59
ただ,名詞,一般,*,*,*,*,ただ,タダ,タダ,< 章なし >,0,59
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,59
置か,動詞,自立,*,*,五段・カ行イ音便,未然形,置く,オカ,オカ,< 章なし >,0,59
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,< 章なし >,0,59
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >,0,59
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,< 章なし >,0,59
けれど,助詞,接続助詞,*,*,*,*,けれど,ケレド,ケレド,< 章なし >,0,59
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,59
今日,名詞,副詞可能,*,*,*,*,今日,キョウ,キョー,< 章なし >,0,59
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,59
それどころ,名詞,形容動詞語幹,*,*,*,*,それどころ,ソレドコロ,ソレドコロ,< 章なし >,0,59
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,< 章なし >,0,59
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,59
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,< 章なし >,0,59
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,59
彼女,名詞,代名詞,一般,*,*,*,彼女,カノジョ,カノジョ,< 章なし >,0,60
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,60
方,名詞,非自立,一般,*,*,*,方,ホウ,ホー,< 章なし >,0,60
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >,0,60
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,60
途方,名詞,一般,*,*,*,*,途方,トホウ,トホー,< 章なし >,0,60
も,助詞,係助詞,*,*,*,*,も,モ,モ,< 章なし >,0,60
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,< 章なし >,0,60
心配,名詞,サ変接続,*,*,*,*,心配,シンパイ,シンパイ,< 章なし >,0,60
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >,0,60
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,< 章なし >,0,60
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >,0,60
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,< 章なし >,0,60
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,60
妙,名詞,形容動詞語幹,*,*,*,*,妙,ミョウ,ミョー,< 章なし >,0,61
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,< 章なし >,0,61
工合,名詞,一般,*,*,*,*,工合,グアイ,グアイ,< 章なし >,0,61
で,助詞,格助詞,一般,*,*,*,で,デ,デ,< 章なし >,0,61
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,61
だんまり,名詞,一般,*,*,*,*,だんまり,ダンマリ,ダンマリ,< 章なし >,0,61
で,助詞,格助詞,一般,*,*,*,で,デ,デ,< 章なし >,0,61
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,61
Ｔ,記号,アルファベット,*,*,*,*,Ｔ,ティー,ティー,< 章なし >,0,61
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,61
茶の間,名詞,一般,*,*,*,*,茶の間,チャノマ,チャノマ,< 章なし >,0,61
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,< 章なし >,0,61
通る,動詞,自立,*,*,五段・ラ行,基本形,通る,トオル,トール,< 章なし >,0,61
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,61
細君,名詞,一般,*,*,*,*,細君,サイクン,サイクン,< 章なし >,0,61
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,61
青い,形容詞,自立,*,*,形容詞・アウオ段,基本形,青い,アオイ,アオイ,< 章なし >,0,61
顔,名詞,一般,*,*,*,*,顔,カオ,カオ,< 章なし >,0,61
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,61
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,< 章なし >,0,61
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,61
あと,名詞,一般,*,*,*,*,あと,アト,アト,< 章なし >,0,61
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,< 章なし >,0,61
つい,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,つく,ツイ,ツイ,< 章なし >,0,61
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,61
来る,動詞,非自立,*,*,カ変・来ル,基本形,来る,クル,クル,< 章なし >,0,61
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,61
といった,助詞,格助詞,連語,*,*,*,といった,トイッタ,トイッタ,< 章なし >,0,61
鹽梅,名詞,一般,*,*,*,*,*,*,*,< 章なし >,0,61
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,< 章なし >,0,61
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,61
暫く,副詞,一般,*,*,*,*,暫く,シバラク,シバラク,< 章なし >,0,62
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,< 章なし >,0,62
と,助詞,接続助詞,*,*,*,*,と,ト,ト,< 章なし >,0,62
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,62
細君,名詞,一般,*,*,*,*,細君,サイクン,サイクン,< 章なし >,0,62
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >,0,62
おずおず,副詞,一般,*,*,*,*,おずおず,オズオズ,オズオズ,< 章なし >,0,62
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,< 章なし >,0,62
ながら,助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ,< 章なし >,0,62
聞く,動詞,自立,*,*,五段・カ行イ音便,基本形,聞く,キク,キク,< 章なし >,0,62
ん,名詞,非自立,一般,*,*,*,ん,ン,ン,< 章なし >,0,62
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,< 章なし >,0,62
ね,助詞,終助詞,*,*,*,*,ね,ネ,ネ,< 章なし >,0,62
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,62
「,記号,括弧開,*,*,*,*,「,「,「,< 章なし >,0,63
この,連体詞,*,*,*,*,*,この,コノ,コノ,< 章なし >,0,63
煙草,名詞,一般,*,*,*,*,煙草,タバコ,タバコ,< 章なし >,0,63
入れ,動詞,自立,*,*,一段,連用形,入れる,イレ,イレ,< 章なし >,0,63
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,63
どっか,名詞,代名詞,一般,*,*,*,どっか,ドッカ,ドッカ,< 章なし >,0,63
で,助詞,格助詞,一般,*,*,*,で,デ,デ,< 章なし >,0,63
取りかえ,動詞,自立,*,*,一段,連用形,取りかえる,トリカエ,トリカエ,< 章なし >,0,63
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,63
いらっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いらう,イラッ,イラッ,< 章なし >,0,63
しった,名詞,サ変接続,*,*,*,*,しった,シッタ,シッタ,< 章なし >,0,63
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,63
じゃ,接続詞,*,*,*,*,*,じゃ,ジャ,ジャ,< 章なし >,0,63
なくっ,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナクッ,ナクッ,< 章なし >,0,63
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,63
」,記号,括弧閉,*,*,*,*,」,」,」,< 章なし >,0,63
いう,動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,< 章なし >,0,63
まで,助詞,副助詞,*,*,*,*,まで,マデ,マデ,< 章なし >,0,63
も,助詞,係助詞,*,*,*,*,も,モ,モ,< 章なし >,0,63
なく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク,< 章なし >,0,63
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,63
例,名詞,一般,*,*,*,*,例,レイ,レイ,< 章なし >,0,63
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,63
銀製,名詞,一般,*,*,*,*,銀製,ギンセイ,ギンセイ,< 章なし >,0,63
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,63
シガレット,名詞,一般,*,*,*,*,シガレット,シガレット,シガレット,< 章なし >,0,63
・,記号,一般,*,*,*,*,・,・,・,< 章なし >,0,63
ケース,名詞,一般,*,*,*,*,ケース,ケース,ケース,< 章なし >,0,63
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,63
「,記号,括弧開,*,*,*,*,「,「,「,< 章なし >,0,64
いいえ,感動詞,*,*,*,*,*,いいえ,イイエ,イーエ,< 章なし >,0,64
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,64
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,< 章なし >,0,64
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,64
どうか,副詞,一般,*,*,*,*,どうか,ドウカ,ドーカ,< 章なし >,0,64
した,名詞,一般,*,*,*,*,した,シタ,シタ,< 章なし >,0,64
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,64
かい,名詞,非自立,一般,*,*,*,かい,カイ,カイ,< 章なし >,0,64
」,記号,括弧閉,*,*,*,*,」,」,」,< 章なし >,0,64
と,助詞,格助詞,引用,*,*,*,と,ト,ト,< 章なし >,0,64
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,64
