表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
ご,接頭詞,名詞接続,*,*,*,*,ご,ゴ,ゴ,四十面相の美術館
き,動詞,自立,*,*,カ変・クル,連用形,くる,キ,キ,四十面相の美術館
げん,名詞,一般,*,*,*,*,げん,ゲン,ゲン,四十面相の美術館
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,四十面相の美術館
とる,動詞,自立,*,*,五段・ラ行,基本形,とる,トル,トル,四十面相の美術館
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,四十面相の美術館
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,四十面相の美術館
あい,動詞,自立,*,*,五段・ワ行促音便,連用形,あう,アイ,アイ,四十面相の美術館
づちをうちました,名詞,一般,*,*,*,*,*,*,*,四十面相の美術館
。,記号,句点,*,*,*,*,。,。,。,四十面相の美術館
「,記号,括弧開,*,*,*,*,「,「,「,四十面相の美術館
そう,副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,四十面相の美術館
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,四十面相の美術館
と,助詞,格助詞,引用,*,*,*,と,ト,ト,四十面相の美術館
も,助詞,係助詞,*,*,*,*,も,モ,モ,四十面相の美術館
。,記号,句点,*,*,*,*,。,。,。,四十面相の美術館
まさか,副詞,一般,*,*,*,*,まさか,マサカ,マサカ,四十面相の美術館
こんな,連体詞,*,*,*,*,*,こんな,コンナ,コンナ,四十面相の美術館
山,名詞,一般,*,*,*,*,山,ヤマ,ヤマ,四十面相の美術館
の,助詞,連体化,*,*,*,*,の,ノ,ノ,四十面相の美術館
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,四十面相の美術館
の,助詞,連体化,*,*,*,*,の,ノ,ノ,四十面相の美術館
樹海,名詞,一般,*,*,*,*,樹海,ジュカイ,ジュカイ,四十面相の美術館
（,記号,括弧開,*,*,*,*,（,（,（,四十面相の美術館
海,名詞,一般,*,*,*,*,海,ウミ,ウミ,四十面相の美術館
の,助詞,連体化,*,*,*,*,の,ノ,ノ,四十面相の美術館
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,四十面相の美術館
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,四十面相の美術館
、,記号,読点,*,*,*,*,、,、,、,四十面相の美術館
ひろい,形容詞,自立,*,*,形容詞・アウオ段,基本形,ひろい,ヒロイ,ヒロイ,四十面相の美術館
森,名詞,一般,*,*,*,*,森,モリ,モリ,四十面相の美術館
）,記号,括弧閉,*,*,*,*,）,）,）,四十面相の美術館
の,助詞,連体化,*,*,*,*,の,ノ,ノ,四十面相の美術館
まんなか,名詞,一般,*,*,*,*,まんなか,マンナカ,マンナカ,四十面相の美術館
の,助詞,連体化,*,*,*,*,の,ノ,ノ,四十面相の美術館
、,記号,読点,*,*,*,*,、,、,、,四十面相の美術館
あの,連体詞,*,*,*,*,*,あの,アノ,アノ,四十面相の美術館
人間の顔,名詞,固有名詞,一般,*,*,*,人間の顔,ニンゲンノカオ,ニンゲンノカオ,四十面相の美術館
と,助詞,格助詞,一般,*,*,*,と,ト,ト,四十面相の美術館
そっくり,副詞,助詞類接続,*,*,*,*,そっくり,ソックリ,ソックリ,四十面相の美術館
の,助詞,連体化,*,*,*,*,の,ノ,ノ,四十面相の美術館
大,接頭詞,名詞接続,*,*,*,*,大,ダイ,ダイ,四十面相の美術館
岩の下,名詞,固有名詞,一般,*,*,*,岩ノ下,イワノシタ,イワノシタ,四十面相の美術館
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,四十面相の美術館
、,記号,読点,*,*,*,*,、,、,、,四十面相の美術館
こんな,連体詞,*,*,*,*,*,こんな,コンナ,コンナ,四十面相の美術館
美術館,名詞,一般,*,*,*,*,美術館,ビジュツカン,ビジュツカン,四十面相の美術館
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,四十面相の美術館
あろう,形容詞,自立,*,*,形容詞・アウオ段,連用ゴザイ接続,あらい,アロウ,アロー,四十面相の美術館
なんて,助詞,副助詞,*,*,*,*,なんて,ナンテ,ナンテ,四十面相の美術館
、,記号,読点,*,*,*,*,、,、,、,四十面相の美術館
だれ,名詞,代名詞,一般,*,*,*,だれ,ダレ,ダレ,四十面相の美術館
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,四十面相の美術館
想像,名詞,サ変接続,*,*,*,*,想像,ソウゾウ,ソーゾー,四十面相の美術館
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,四十面相の美術館
でしょ,助動詞,*,*,*,特殊・デス,未然形,です,デショ,デショ,四十面相の美術館
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,四十面相の美術館
。,記号,句点,*,*,*,*,。,。,。,四十面相の美術館
かしら,名詞,一般,*,*,*,*,かしら,カシラ,カシラ,四十面相の美術館
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,四十面相の美術館
、,記号,読点,*,*,*,*,、,、,、,四十面相の美術館
じつに,副詞,一般,*,*,*,*,じつに,ジツニ,ジツニ,四十面相の美術館
いい,形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ,四十面相の美術館
場所,名詞,一般,*,*,*,*,場所,バショ,バショ,四十面相の美術館
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,四十面相の美術館
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,四十面相の美術館
えらび,動詞,自立,*,*,五段・バ行,連用形,えらぶ,エラビ,エラビ,四十面相の美術館
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,四十面相の美術館
なり,動詞,自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ,四十面相の美術館
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,四十面相の美術館
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,四十面相の美術館
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,四十面相の美術館
。,記号,句点,*,*,*,*,。,。,。,四十面相の美術館
そのうえ,接続詞,*,*,*,*,*,そのうえ,ソノウエ,ソノウエ,四十面相の美術館
、,記号,読点,*,*,*,*,、,、,、,四十面相の美術館
あの,連体詞,*,*,*,*,*,あの,アノ,アノ,四十面相の美術館
恐ろしい,形容詞,自立,*,*,形容詞・イ段,基本形,恐ろしい,オソロシイ,オソロシイ,四十面相の美術館
番人,名詞,一般,*,*,*,*,番人,バンニン,バンニン,四十面相の美術館
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,四十面相の美術館
いれ,動詞,自立,*,*,一段,仮定形,いる,イレ,イレ,四十面相の美術館
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ,四十面相の美術館
、,記号,読点,*,*,*,*,、,、,、,四十面相の美術館
たとえ,副詞,一般,*,*,*,*,たとえ,タトエ,タトエ,四十面相の美術館
、,記号,読点,*,*,*,*,、,、,、,四十面相の美術館
人間,名詞,一般,*,*,*,*,人間,ニンゲン,ニンゲン,四十面相の美術館
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,四十面相の美術館
奇,名詞,一般,*,*,*,*,奇,キ,キ,四十面相の美術館
面城,名詞,固有名詞,人名,姓,*,*,面城,オモダチ,オモダチ,四十面相の美術館
