表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
て,助詞,接続助詞,*,*,*,*,て,テ,テ,三、金ピカの赤井さん
、,記号,読点,*,*,*,*,、,、,、,三、金ピカの赤井さん
首,名詞,一般,*,*,*,*,首,クビ,クビ,三、金ピカの赤井さん
丈,名詞,一般,*,*,*,*,丈,タケ,タケ,三、金ピカの赤井さん
け,助詞,終助詞,*,*,*,*,け,ケ,ケ,三、金ピカの赤井さん
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,三、金ピカの赤井さん
西側,名詞,一般,*,*,*,*,西側,ニシガワ,ニシガワ,三、金ピカの赤井さん
の,助詞,連体化,*,*,*,*,の,ノ,ノ,三、金ピカの赤井さん
北,名詞,一般,*,*,*,*,北,キタ,キタ,三、金ピカの赤井さん
より,助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ,三、金ピカの赤井さん
の,助詞,連体化,*,*,*,*,の,ノ,ノ,三、金ピカの赤井さん
方角,名詞,一般,*,*,*,*,方角,ホウガク,ホーガク,三、金ピカの赤井さん
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,三、金ピカの赤井さん
覗い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,覗く,ノゾイ,ノゾイ,三、金ピカの赤井さん
て,助詞,接続助詞,*,*,*,*,て,テ,テ,三、金ピカの赤井さん
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,三、金ピカの赤井さん
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,三、金ピカの赤井さん
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,三、金ピカの赤井さん
。,記号,句点,*,*,*,*,。,。,。,三、金ピカの赤井さん
そんな,連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,三、金ピカの赤井さん
所,名詞,非自立,副詞可能,*,*,*,所,トコロ,トコロ,三、金ピカの赤井さん
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,三、金ピカの赤井さん
何,名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,三、金ピカの赤井さん
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,三、金ピカの赤井さん
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,三、金ピカの赤井さん
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,三、金ピカの赤井さん
だろ,助動詞,*,*,*,特殊・ダ,未然形,だ,ダロ,ダロ,三、金ピカの赤井さん
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,三、金ピカの赤井さん
。,記号,句点,*,*,*,*,。,。,。,三、金ピカの赤井さん
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,三、金ピカの赤井さん
方角,名詞,一般,*,*,*,*,方角,ホウガク,ホーガク,三、金ピカの赤井さん
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,三、金ピカの赤井さん
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,三、金ピカの赤井さん
、,記号,読点,*,*,*,*,、,、,、,三、金ピカの赤井さん
洋館,名詞,一般,*,*,*,*,洋館,ヨウカン,ヨーカン,三、金ピカの赤井さん
の,助詞,連体化,*,*,*,*,の,ノ,ノ,三、金ピカの赤井さん
うしろ,名詞,固有名詞,一般,*,*,*,うしろ,ウシロ,ウシロ,三、金ピカの赤井さん
側,名詞,接尾,一般,*,*,*,側,ガワ,ガワ,三、金ピカの赤井さん
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,三、金ピカの赤井さん
母屋,名詞,一般,*,*,*,*,母屋,モヤ,モヤ,三、金ピカの赤井さん
の,助詞,連体化,*,*,*,*,の,ノ,ノ,三、金ピカの赤井さん
台所,名詞,一般,*,*,*,*,台所,ダイドコロ,ダイドコロ,三、金ピカの赤井さん
口,名詞,接尾,一般,*,*,*,口,グチ,グチ,三、金ピカの赤井さん
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,三、金ピカの赤井さん
あっ,動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,三、金ピカの赤井さん
て,助詞,接続助詞,*,*,*,*,て,テ,テ,三、金ピカの赤井さん
、,記号,読点,*,*,*,*,、,、,、,三、金ピカの赤井さん
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,三、金ピカの赤井さん
前,名詞,副詞可能,*,*,*,*,前,マエ,マエ,三、金ピカの赤井さん
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,三、金ピカの赤井さん
、,記号,読点,*,*,*,*,、,、,、,三、金ピカの赤井さん
常,接頭詞,名詞接続,*,*,*,*,常,ツネ,ツネ,三、金ピカの赤井さん
爺さん,名詞,一般,*,*,*,*,爺さん,ジイサン,ジーサン,三、金ピカの赤井さん
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,三、金ピカの赤井さん
慰み,名詞,一般,*,*,*,*,慰み,ナグサミ,ナグサミ,三、金ピカの赤井さん
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,三、金ピカの赤井さん
作っ,動詞,自立,*,*,五段・ラ行,連用タ接続,作る,ツクッ,ツクッ,三、金ピカの赤井さん
て,助詞,接続助詞,*,*,*,*,て,テ,テ,三、金ピカの赤井さん
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,三、金ピカの赤井さん
花壇,名詞,一般,*,*,*,*,花壇,カダン,カダン,三、金ピカの赤井さん
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,三、金ピカの赤井さん
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,三、金ピカの赤井さん
ばかり,助詞,副助詞,*,*,*,*,ばかり,バカリ,バカリ,三、金ピカの赤井さん
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,三、金ピカの赤井さん
。,記号,句点,*,*,*,*,。,。,。,三、金ピカの赤井さん
別,名詞,一般,*,*,*,*,別,ベツ,ベツ,三、金ピカの赤井さん
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,三、金ピカの赤井さん
美しい,形容詞,自立,*,*,形容詞・イ段,基本形,美しい,ウツクシイ,ウツクシイ,三、金ピカの赤井さん
花,名詞,一般,*,*,*,*,花,ハナ,ハナ,三、金ピカの赤井さん
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,三、金ピカの赤井さん
咲い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,咲く,サイ,サイ,三、金ピカの赤井さん
て,助詞,接続助詞,*,*,*,*,て,テ,テ,三、金ピカの赤井さん
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,三、金ピカの赤井さん
訳,名詞,非自立,一般,*,*,*,訳,ワケ,ワケ,三、金ピカの赤井さん
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,三、金ピカの赤井さん
も,助詞,係助詞,*,*,*,*,も,モ,モ,三、金ピカの赤井さん
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,三、金ピカの赤井さん
。,記号,句点,*,*,*,*,。,。,。,三、金ピカの赤井さん
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,三、金ピカの赤井さん
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,三、金ピカの赤井さん
先手,名詞,一般,*,*,*,*,先手,センテ,センテ,三、金ピカの赤井さん
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,三、金ピカの赤井さん
打た,動詞,自立,*,*,五段・タ行,未然形,打つ,ウタ,ウタ,三、金ピカの赤井さん
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,三、金ピカの赤井さん
て,助詞,接続助詞,*,*,*,*,て,テ,テ,三、金ピカの赤井さん
少々,副詞,助詞類接続,*,*,*,*,少々,ショウショウ,ショーショー,三、金ピカの赤井さん
小癪,名詞,形容動詞語幹,*,*,*,*,小癪,コシャク,コシャク,三、金ピカの赤井さん
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,三、金ピカの赤井さん
触っ,動詞,自立,*,*,五段・ラ行,連用タ接続,触る,サワッ,サワッ,三、金ピカの赤井さん
て,助詞,接続助詞,*,*,*,*,て,テ,テ,三、金ピカの赤井さん
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,三、金ピカの赤井さん
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,三、金ピカの赤井さん
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,三、金ピカの赤井さん
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,三、金ピカの赤井さん
から,助詞,接続助詞,*,*,*,*,から,カラ,カラ,三、金ピカの赤井さん
、,記号,読点,*,*,*,*,、,、,、,三、金ピカの赤井さん
一つ,名詞,一般,*,*,*,*,一つ,ヒトツ,ヒトツ,三、金ピカの赤井さん
驚か,動詞,自立,*,*,五段・カ行イ音便,未然形,驚く,オドロカ,オドロカ,三、金ピカの赤井さん
せ,動詞,接尾,*,*,一段,連用形,せる,セ,セ,三、金ピカの赤井さん
て,助詞,接続助詞,*,*,*,*,て,テ,テ,三、金ピカの赤井さん
やろう,名詞,一般,*,*,*,*,野郎,ヤロウ,ヤロー,三、金ピカの赤井さん
と,助詞,格助詞,一般,*,*,*,と,ト,ト,三、金ピカの赤井さん
思っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,三、金ピカの赤井さん
て,助詞,接続助詞,*,*,*,*,て,テ,テ,三、金ピカの赤井さん
、,記号,読点,*,*,*,*,、,、,、,三、金ピカの赤井さん
足音,名詞,一般,*,*,*,*,足音,アシオト,アシオト,三、金ピカの赤井さん
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,三、金ピカの赤井さん
忍ば,動詞,自立,*,*,五段・バ行,未然形,忍ぶ,シノバ,シノバ,三、金ピカの赤井さん
せ,動詞,接尾,*,*,一段,連用形,せる,セ,セ,三、金ピカの赤井さん
て,助詞,接続助詞,*,*,*,*,て,テ,テ,三、金ピカの赤井さん
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ,三、金ピカの赤井さん
の,助詞,連体化,*,*,*,*,の,ノ,ノ,三、金ピカの赤井さん
うしろ,名詞,固有名詞,一般,*,*,*,うしろ,ウシロ,ウシロ,三、金ピカの赤井さん
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,三、金ピカの赤井さん
近寄り,動詞,自立,*,*,五段・ラ行,連用形,近寄る,チカヨリ,チカヨリ,三、金ピカの赤井さん
、,記号,読点,*,*,*,*,、,、,、,三、金ピカの赤井さん
出し抜け,名詞,形容動詞語幹,*,*,*,*,出し抜け,ダシヌケ,ダシヌケ,三、金ピカの赤井さん
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,三、金ピカの赤井さん
ポン,名詞,固有名詞,人名,一般,*,*,PON,ポン,ポン,三、金ピカの赤井さん
と,助詞,並立助詞,*,*,*,*,と,ト,ト,三、金ピカの赤井さん
肩,名詞,一般,*,*,*,*,肩,カタ,カタ,三、金ピカの赤井さん
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,三、金ピカの赤井さん
叩い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,叩く,タタイ,タタイ,三、金ピカの赤井さん
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,三、金ピカの赤井さん
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,三、金ピカの赤井さん
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,三、金ピカの赤井さん
ある,助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル,三、金ピカの赤井さん
。,記号,句点,*,*,*,*,。,。,。,三、金ピカの赤井さん
すると,接続詞,*,*,*,*,*,すると,スルト,スルト,三、金ピカの赤井さん
相手,名詞,一般,*,*,*,*,相手,アイテ,アイテ,三、金ピカの赤井さん
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,三、金ピカの赤井さん
予期,名詞,サ変接続,*,*,*,*,予期,ヨキ,ヨキ,三、金ピカの赤井さん
以上,名詞,非自立,副詞可能,*,*,*,以上,イジョウ,イジョー,三、金ピカの赤井さん
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,三、金ピカの赤井さん
驚い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,驚く,オドロイ,オドロイ,三、金ピカの赤井さん
て,助詞,接続助詞,*,*,*,*,て,テ,テ,三、金ピカの赤井さん
、,記号,読点,*,*,*,*,、,、,、,三、金ピカの赤井さん
ビクッ,名詞,一般,*,*,*,*,*,*,*,三、金ピカの赤井さん
として,助詞,格助詞,連語,*,*,*,として,トシテ,トシテ,三、金ピカの赤井さん
振,動詞,自立,*,*,五段・ラ行,体言接続特殊２,振る,フ,フ,三、金ピカの赤井さん
向い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,向く,ムイ,ムイ,三、金ピカの赤井さん
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,三、金ピカの赤井さん
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,三、金ピカの赤井さん
、,記号,読点,*,*,*,*,、,、,、,三、金ピカの赤井さん
何,名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,三、金ピカの赤井さん
ぜ,助詞,終助詞,*,*,*,*,ぜ,ゼ,ゼ,三、金ピカの赤井さん
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,三、金ピカの赤井さん
馬鹿げ,動詞,自立,*,*,一段,連用形,馬鹿げる,バカゲ,バカゲ,三、金ピカの赤井さん
て,助詞,接続助詞,*,*,*,*,て,テ,テ,三、金ピカの赤井さん
大きな,連体詞,*,*,*,*,*,大きな,オオキナ,オーキナ,三、金ピカの赤井さん
声,名詞,一般,*,*,*,*,声,コエ,コエ,三、金ピカの赤井さん
で,助詞,格助詞,一般,*,*,*,で,デ,デ,三、金ピカの赤井さん
、,記号,読点,*,*,*,*,、,、,、,三、金ピカの赤井さん
。,記号,句点,*,*,*,*,。,。,。,三、金ピカの赤井さん
「,記号,括弧開,*,*,*,*,「,「,「,三、金ピカの赤井さん
ヤア,名詞,一般,*,*,*,*,やあ,ヤア,ヤー,三、金ピカの赤井さん
、,記号,読点,*,*,*,*,、,、,、,三、金ピカの赤井さん
松村,名詞,固有名詞,人名,姓,*,*,松村,マツムラ,マツムラ,三、金ピカの赤井さん
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,三、金ピカの赤井さん
でし,助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ,三、金ピカの赤井さん
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,三、金ピカの赤井さん
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,三、金ピカの赤井さん
」,記号,括弧閉,*,*,*,*,」,」,」,三、金ピカの赤井さん
と,助詞,格助詞,引用,*,*,*,と,ト,ト,三、金ピカの赤井さん
怒鳴っ,動詞,自立,*,*,五段・ラ行,連用タ接続,怒鳴る,ドナッ,ドナッ,三、金ピカの赤井さん
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,三、金ピカの赤井さん
。,記号,句点,*,*,*,*,。,。,。,三、金ピカの赤井さん
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,三、金ピカの赤井さん
声,名詞,一般,*,*,*,*,声,コエ,コエ,三、金ピカの赤井さん
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,三、金ピカの赤井さん
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,三、金ピカの赤井さん
の,助詞,連体化,*,*,*,*,の,ノ,ノ,三、金ピカの赤井さん
方,名詞,非自立,一般,*,*,*,方,ホウ,ホー,三、金ピカの赤井さん
