表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
見かた,名詞,一般,*,*,*,*,見方,ミカタ,ミカタ,きもだめしの会,0,11
、,記号,読点,*,*,*,*,、,、,、,きもだめしの会,0,11
化学,名詞,一般,*,*,*,*,化学,カガク,カガク,きもだめしの会,0,11
の,助詞,連体化,*,*,*,*,の,ノ,ノ,きもだめしの会,0,11
実験,名詞,サ変接続,*,*,*,*,実験,ジッケン,ジッケン,きもだめしの会,0,11
など,助詞,副助詞,*,*,*,*,など,ナド,ナド,きもだめしの会,0,11
、,記号,読点,*,*,*,*,、,、,、,きもだめしの会,0,11
探偵,名詞,サ変接続,*,*,*,*,探偵,タンテイ,タンテイ,きもだめしの会,0,11
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,きもだめしの会,0,11
ひつよう,名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー,きもだめしの会,0,11
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,きもだめしの会,0,11
法医学,名詞,一般,*,*,*,*,法医学,ホウイガク,ホーイガク,きもだめしの会,0,11
の,助詞,連体化,*,*,*,*,の,ノ,ノ,きもだめしの会,0,11
知恵,名詞,一般,*,*,*,*,知恵,チエ,チエ,きもだめしの会,0,11
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,きもだめしの会,0,11
、,記号,読点,*,*,*,*,、,、,、,きもだめしの会,0,11
すこし,副詞,助詞類接続,*,*,*,*,すこし,スコシ,スコシ,きもだめしの会,0,11
ずつ,助詞,副助詞,*,*,*,*,ずつ,ズツ,ズツ,きもだめしの会,0,11
おそわっ,動詞,自立,*,*,五段・ラ行,連用タ接続,おそわる,オソワッ,オソワッ,きもだめしの会,0,11
て,助詞,接続助詞,*,*,*,*,て,テ,テ,きもだめしの会,0,11
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,きもだめしの会,0,11
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,きもだめしの会,0,11
でし,助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ,きもだめしの会,0,11
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,きもだめしの会,0,11
。,記号,句点,*,*,*,*,。,。,。,きもだめしの会,0,11
また,接続詞,*,*,*,*,*,また,マタ,マタ,きもだめしの会,0,12
、,記号,読点,*,*,*,*,、,、,、,きもだめしの会,0,12
からだ,名詞,一般,*,*,*,*,からだ,カラダ,カラダ,きもだめしの会,0,12
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,きもだめしの会,0,12
きたえる,動詞,自立,*,*,一段,基本形,きたえる,キタエル,キタエル,きもだめしの会,0,12
ため,名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ,きもだめしの会,0,12
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,きもだめしの会,0,12
、,記号,読点,*,*,*,*,、,、,、,きもだめしの会,0,12
おおく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,おおい,オオク,オーク,きもだめしの会,0,12
の,助詞,連体化,*,*,*,*,の,ノ,ノ,きもだめしの会,0,12
団員,名詞,一般,*,*,*,*,団員,ダンイン,ダンイン,きもだめしの会,0,12
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,きもだめしの会,0,12
柔道,名詞,一般,*,*,*,*,柔道,ジュウドウ,ジュードー,きもだめしの会,0,12
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,きもだめしの会,0,12
ならっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,ならう,ナラッ,ナラッ,きもだめしの会,0,12
て,助詞,接続助詞,*,*,*,*,て,テ,テ,きもだめしの会,0,12
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,きもだめしの会,0,12
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,きもだめしの会,0,12
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,きもだめしの会,0,12
し,助詞,接続助詞,*,*,*,*,し,シ,シ,きもだめしの会,0,12
、,記号,読点,*,*,*,*,、,、,、,きもだめしの会,0,12
団員,名詞,一般,*,*,*,*,団員,ダンイン,ダンイン,きもだめしの会,0,12
の,助詞,連体化,*,*,*,*,の,ノ,ノ,きもだめしの会,0,12
井上一郎,名詞,固有名詞,人名,一般,*,*,井上一郎,イノウエイチロウ,イノーエイチロー,きもだめしの会,0,12
君,名詞,接尾,人名,*,*,*,君,クン,クン,きもだめしの会,0,12
の,助詞,連体化,*,*,*,*,の,ノ,ノ,きもだめしの会,0,12
おとうさん,名詞,一般,*,*,*,*,おとうさん,オトウサン,オトーサン,きもだめしの会,0,12
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,きもだめしの会,0,12
、,記号,読点,*,*,*,*,、,、,、,きもだめしの会,0,12
もと,接頭詞,名詞接続,*,*,*,*,もと,モト,モト,きもだめしの会,0,12
拳闘,名詞,一般,*,*,*,*,拳闘,ケントウ,ケントー,きもだめしの会,0,12
選手,名詞,一般,*,*,*,*,選手,センシュ,センシュ,きもだめしの会,0,12
だっ,助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ,きもだめしの会,0,12
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,きもだめしの会,0,12
ので,助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,きもだめしの会,0,12
、,記号,読点,*,*,*,*,、,、,、,きもだめしの会,0,12
井上,名詞,固有名詞,人名,姓,*,*,井上,イノウエ,イノウエ,きもだめしの会,0,12
君,名詞,接尾,人名,*,*,*,君,クン,クン,きもだめしの会,0,12
と,助詞,格助詞,一般,*,*,*,と,ト,ト,きもだめしの会,0,12
いっしょ,名詞,一般,*,*,*,*,いっしょ,イッショ,イッショ,きもだめしの会,0,12
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,きもだめしの会,0,12
拳闘,名詞,一般,*,*,*,*,拳闘,ケントウ,ケントー,きもだめしの会,0,12
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,きもだめしの会,0,12
おそわっ,動詞,自立,*,*,五段・ラ行,連用タ接続,おそわる,オソワッ,オソワッ,きもだめしの会,0,12
