表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
ある,動詞,非自立,*,*,五段・ラ行,基本形,ある,アル,アル,,どろぼう人形,,1,10
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,どろぼう人形,,1,10
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,どろぼう人形,,1,10
。,記号,句点,*,*,*,*,。,。,。,,どろぼう人形,,1,10
懐中電灯,名詞,固有名詞,一般,*,*,*,懐中電灯,カイチュウデントウ,カイチューデントー,,どろぼう人形,,1,11
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,どろぼう人形,,1,11
光,名詞,一般,*,*,*,*,光,ヒカリ,ヒカリ,,どろぼう人形,,1,11
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,どろぼう人形,,1,11
、,記号,読点,*,*,*,*,、,、,、,,どろぼう人形,,1,11
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,,どろぼう人形,,1,11
顔,名詞,一般,*,*,*,*,顔,カオ,カオ,,どろぼう人形,,1,11
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,どろぼう人形,,1,11
、,記号,読点,*,*,*,*,、,、,、,,どろぼう人形,,1,11
スッと,副詞,一般,*,*,*,*,スッと,スット,スット,,どろぼう人形,,1,11
、,記号,読点,*,*,*,*,、,、,、,,どろぼう人形,,1,11
かすめ,動詞,自立,*,*,一段,連用形,かすめる,カスメ,カスメ,,どろぼう人形,,1,11
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,どろぼう人形,,1,11
、,記号,読点,*,*,*,*,、,、,、,,どろぼう人形,,1,11
むこう,名詞,形容動詞語幹,*,*,*,*,無効,ムコウ,ムコー,,どろぼう人形,,1,11
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,,どろぼう人形,,1,11
、,記号,読点,*,*,*,*,、,、,、,,どろぼう人形,,1,11
遠ざかっ,動詞,自立,*,*,五段・ラ行,連用タ接続,遠ざかる,トオザカッ,トーザカッ,,どろぼう人形,,1,11
