表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
避け,動詞,自立,*,*,一段,連用形,避ける,サケ,サケ,下,2,172
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,下,2,172
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,下,2,172
、,記号,読点,*,*,*,*,、,、,、,下,2,172
松村,名詞,固有名詞,人名,姓,*,*,松村,マツムラ,マツムラ,下,2,172
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,下,2,172
この,連体詞,*,*,*,*,*,この,コノ,コノ,下,2,172
苦心,名詞,サ変接続,*,*,*,*,苦心,クシン,クシン,下,2,172
談,名詞,接尾,一般,*,*,*,談,ダン,ダン,下,2,172
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,下,2,172
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,下,2,172
て,助詞,接続助詞,*,*,*,*,て,テ,テ,下,2,172
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,下,2,172
間,名詞,一般,*,*,*,*,間,マ,マ,下,2,172
の,助詞,連体化,*,*,*,*,の,ノ,ノ,下,2,172
、,記号,読点,*,*,*,*,、,、,、,下,2,172
嬉し,形容詞,自立,*,*,形容詞・イ段,ガル接続,嬉しい,ウレシ,ウレシ,下,2,172
相,名詞,接尾,一般,*,*,*,相,ショウ,ショー,下,2,172
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,下,2,172
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,下,2,172
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,下,2,172
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,下,2,172
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,下,2,172
、,記号,読点,*,*,*,*,、,、,、,下,2,172
全く,名詞,一般,*,*,*,*,全区,ゼンク,ゼンク,下,2,172
見物,名詞,サ変接続,*,*,*,*,見物,ケンブツ,ケンブツ,下,2,172
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,下,2,172
あっ,助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ,下,2,172
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,下,2,172
。,記号,句点,*,*,*,*,。,。,。,下,2,172
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ,下,2,173
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,下,2,173
はしたなく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,はしたない,ハシタナク,ハシタナク,下,2,173
喜ぶ,動詞,自立,*,*,五段・バ行,基本形,喜ぶ,ヨロコブ,ヨロコブ,下,2,173
顔,名詞,一般,*,*,*,*,顔,カオ,カオ,下,2,173
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,下,2,173
見せ,動詞,自立,*,*,一段,未然形,見せる,ミセ,ミセ,下,2,173
まい,助動詞,*,*,*,不変化型,基本形,まい,マイ,マイ,下,2,173
として,助詞,格助詞,連語,*,*,*,として,トシテ,トシテ,下,2,173
