表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
と,助詞,並立助詞,*,*,*,*,と,ト,ト,< 章なし >,0,90
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,90
いろいろ,副詞,助詞類接続,*,*,*,*,いろいろ,イロイロ,イロイロ,< 章なし >,0,90
やっ,動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,< 章なし >,0,90
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,90
み,動詞,非自立,*,*,一段,連用形,みる,ミ,ミ,< 章なし >,0,90
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,< 章なし >,0,90
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,90
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,< 章なし >,0,90
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,90
何,名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,< 章なし >,0,90
も,助詞,係助詞,*,*,*,*,も,モ,モ,< 章なし >,0,90
出,動詞,自立,*,*,一段,連用形,出る,デ,デ,< 章なし >,0,90
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,90
き,動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,< 章なし >,0,90
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,< 章なし >,0,90
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,< 章なし >,0,90
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,90
みや子,名詞,固有名詞,人名,名,*,*,みや子,ミヤコ,ミヤコ,< 章なし >,0,91
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,< 章なし >,0,91
も,助詞,係助詞,*,*,*,*,も,モ,モ,< 章なし >,0,91
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,91
一週間,名詞,固有名詞,一般,*,*,*,一週間,イッシュウカン,イッシューカン,< 章なし >,0,91
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >,0,91
一,名詞,数,*,*,*,*,一,イチ,イチ,< 章なし >,0,91
度,名詞,接尾,助数詞,*,*,*,度,ド,ド,< 章なし >,0,91
