表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
ほんとう,名詞,一般,*,*,*,*,ほんとう,ホントウ,ホントー,おねえさま,0,11
の,助詞,連体化,*,*,*,*,の,ノ,ノ,おねえさま,0,11
おねえさま,名詞,固有名詞,一般,*,*,*,おねえさま,オネエサマ,オネエサマ,おねえさま,0,11
じゃ,助詞,副助詞,*,*,*,*,じゃ,ジャ,ジャ,おねえさま,0,11
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,おねえさま,0,11
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,おねえさま,0,11
。,記号,句点,*,*,*,*,。,。,。,おねえさま,0,11
明智,名詞,一般,*,*,*,*,明智,メイチ,メイチ,おねえさま,0,12
先生,名詞,一般,*,*,*,*,先生,センセイ,センセイ,おねえさま,0,12
の,助詞,連体化,*,*,*,*,の,ノ,ノ,おねえさま,0,12
新しい,形容詞,自立,*,*,形容詞・イ段,基本形,新しい,アタラシイ,アタラシイ,おねえさま,0,12
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,おねえさま,0,12
弟子,名詞,一般,*,*,*,*,弟子,デシ,デシ,おねえさま,0,12
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,おねえさま,0,12
ん,名詞,非自立,一般,*,*,*,ん,ン,ン,おねえさま,0,12
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,おねえさま,0,12
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,おねえさま,0,12
。,記号,句点,*,*,*,*,。,。,。,おねえさま,0,12
つまり,接続詞,*,*,*,*,*,つまり,ツマリ,ツマリ,おねえさま,0,13
、,記号,読点,*,*,*,*,、,、,、,おねえさま,0,13
えーと,フィラー,*,*,*,*,*,えーと,エート,エート,おねえさま,0,13
、,記号,読点,*,*,*,*,、,、,、,おねえさま,0,13
少女,名詞,一般,*,*,*,*,少女,ショウジョ,ショージョ,おねえさま,0,13
助手,名詞,一般,*,*,*,*,助手,ジョシュ,ジョシュ,おねえさま,0,13
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,おねえさま,0,13
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,おねえさま,0,13
。,記号,句点,*,*,*,*,。,。,。,おねえさま,0,13
」,記号,括弧閉,*,*,*,*,」,」,」,おねえさま,0,14
そう,副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,おねえさま,0,14
いっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,イッ,おねえさま,0,14
て,助詞,接続助詞,*,*,*,*,て,テ,テ,おねえさま,0,14
、,記号,読点,*,*,*,*,、,、,、,おねえさま,0,14
小林,名詞,固有名詞,人名,姓,*,*,小林,コバヤシ,コバヤシ,おねえさま,0,14
君,名詞,接尾,人名,*,*,*,君,クン,クン,おねえさま,0,14
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,おねえさま,0,14
、,記号,読点,*,*,*,*,、,、,、,おねえさま,0,14
ちょっと,副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,おねえさま,0,14
、,記号,読点,*,*,*,*,、,、,、,おねえさま,0,14
顔,名詞,一般,*,*,*,*,顔,カオ,カオ,おねえさま,0,14
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,おねえさま,0,14
赤く,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,赤い,アカク,アカク,おねえさま,0,14
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,おねえさま,0,14
て,助詞,接続助詞,*,*,*,*,て,テ,テ,おねえさま,0,14
頭,名詞,一般,*,*,*,*,頭,アタマ,アタマ,おねえさま,0,14
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,おねえさま,0,14
かく,副詞,一般,*,*,*,*,かく,カク,カク,おねえさま,0,14
まね,名詞,サ変接続,*,*,*,*,まね,マネ,マネ,おねえさま,0,14
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,おねえさま,0,14
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,おねえさま,0,14
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,おねえさま,0,14
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,おねえさま,0,14
。,記号,句点,*,*,*,*,。,。,。,おねえさま,0,14
「,記号,括弧開,*,*,*,*,「,「,「,おねえさま,0,15
ぼく,名詞,代名詞,一般,*,*,*,ぼく,ボク,ボク,おねえさま,0,15
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,おねえさま,0,15
先生,名詞,一般,*,*,*,*,先生,センセイ,センセイ,おねえさま,0,15
の,助詞,連体化,*,*,*,*,の,ノ,ノ,おねえさま,0,15
少年,名詞,一般,*,*,*,*,少年,ショウネン,ショーネン,おねえさま,0,15
助手,名詞,一般,*,*,*,*,助手,ジョシュ,ジョシュ,おねえさま,0,15
だろ,助動詞,*,*,*,特殊・ダ,未然形,だ,ダロ,ダロ,おねえさま,0,15
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,おねえさま,0,15
。,記号,句点,*,*,*,*,。,。,。,おねえさま,0,15
だから,接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,おねえさま,0,16
、,記号,読点,*,*,*,*,、,、,、,おねえさま,0,16
マユミ,名詞,固有名詞,人名,名,*,*,マユミ,マユミ,マユミ,おねえさま,0,16
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,おねえさま,0,16
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,おねえさま,0,16
少女,名詞,一般,*,*,*,*,少女,ショウジョ,ショージョ,おねえさま,0,16
助手,名詞,一般,*,*,*,*,助手,ジョシュ,ジョシュ,おねえさま,0,16
と,助詞,格助詞,引用,*,*,*,と,ト,ト,おねえさま,0,16
いっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,イッ,おねえさま,0,16
