表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
新聞,名詞,一般,*,*,*,*,新聞,シンブン,シンブン,象の鼻,0,460
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,象の鼻,0,460
よめる,動詞,自立,*,*,一段,基本形,よめる,ヨメル,ヨメル,象の鼻,0,460
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,象の鼻,0,460
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,象の鼻,0,460
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,象の鼻,0,460
て,助詞,接続助詞,*,*,*,*,て,テ,テ,象の鼻,0,460
あげ,動詞,非自立,*,*,一段,連用形,あげる,アゲ,アゲ,象の鼻,0,460
ましょ,助動詞,*,*,*,特殊・マス,未然ウ接続,ます,マショ,マショ,象の鼻,0,460
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,象の鼻,0,460
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,象の鼻,0,460
」,記号,括弧閉,*,*,*,*,」,」,」,象の鼻,0,460
一太郎,名詞,固有名詞,人名,名,*,*,一太郎,イチタロウ,イチタロー,象の鼻,0,460
君,名詞,接尾,人名,*,*,*,君,クン,クン,象の鼻,0,460
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,象の鼻,0,460
妙,名詞,形容動詞語幹,*,*,*,*,妙,ミョウ,ミョー,象の鼻,0,460
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,象の鼻,0,460
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,象の鼻,0,460
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,象の鼻,0,460
いい,動詞,自立,*,*,五段・ワ行促音便,連用形,いう,イイ,イイ,象の鼻,0,460
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,象の鼻,0,460
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,象の鼻,0,460
。,記号,句点,*,*,*,*,。,。,。,象の鼻,0,460
「,記号,括弧開,*,*,*,*,「,「,「,象の鼻,0,461
よめる,動詞,自立,*,*,一段,基本形,よめる,ヨメル,ヨメル,象の鼻,0,461
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,象の鼻,0,461
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,象の鼻,0,461
と,助詞,格助詞,引用,*,*,*,と,ト,ト,象の鼻,0,461
いっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,イッ,象の鼻,0,461
て,助詞,接続助詞,*,*,*,*,て,テ,テ,象の鼻,0,461
、,記号,読点,*,*,*,*,、,、,、,象の鼻,0,461
お前,名詞,代名詞,一般,*,*,*,お前,オマエ,オマエ,象の鼻,0,461
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,象の鼻,0,461
よん,動詞,自立,*,*,五段・バ行,連用タ接続,よぶ,ヨン,ヨン,象の鼻,0,461
で,助詞,接続助詞,*,*,*,*,で,デ,デ,象の鼻,0,461
聞か,動詞,自立,*,*,五段・カ行イ音便,未然形,聞く,キカ,キカ,象の鼻,0,461
せ,動詞,接尾,*,*,一段,連用形,せる,セ,セ,象の鼻,0,461
て,助詞,接続助詞,*,*,*,*,て,テ,テ,象の鼻,0,461
くれる,動詞,非自立,*,*,一段・クレル,基本形,くれる,クレル,クレル,象の鼻,0,461
