表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,発表者の附記,,0,7
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,発表者の附記,,0,7
上,名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ,,発表者の附記,,0,7
、,記号,読点,*,*,*,*,、,、,、,,発表者の附記,,0,7
翌日,名詞,副詞可能,*,*,*,*,翌日,ヨクジツ,ヨクジツ,,発表者の附記,,0,7
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,発表者の附記,,0,7
昼,名詞,副詞可能,*,*,*,*,昼,ヒル,ヒル,,発表者の附記,,0,7
頃,名詞,接尾,副詞可能,*,*,*,頃,ゴロ,ゴロ,,発表者の附記,,0,7
まで,助詞,副助詞,*,*,*,*,まで,マデ,マデ,,発表者の附記,,0,7
かかっ,動詞,自立,*,*,五段・ラ行,連用タ接続,かかる,カカッ,カカッ,,発表者の附記,,0,7
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,発表者の附記,,0,7
、,記号,読点,*,*,*,*,、,、,、,,発表者の附記,,0,7
大部,名詞,一般,*,*,*,*,大部,タイブ,タイブ,,発表者の附記,,0,7
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,発表者の附記,,0,7
記録,名詞,サ変接続,*,*,*,*,記録,キロク,キロク,,発表者の附記,,0,7
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,発表者の附記,,0,7
すっかり,副詞,一般,*,*,*,*,すっかり,スッカリ,スッカリ,,発表者の附記,,0,7
読み,動詞,自立,*,*,五段・マ行,連用形,読む,ヨミ,ヨミ,,発表者の附記,,0,7
終っ,動詞,自立,*,*,五段・ラ行,連用タ接続,終る,オワッ,オワッ,,発表者の附記,,0,7
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,発表者の附記,,0,7
。,記号,句点,*,*,*,*,。,。,。,,発表者の附記,,0,7
半分,名詞,副詞可能,*,*,*,*,半分,ハンブン,ハンブン,,発表者の附記,,0,8
も,助詞,係助詞,*,*,*,*,も,モ,モ,,発表者の附記,,0,8
読ま,動詞,自立,*,*,五段・マ行,未然形,読む,ヨマ,ヨマ,,発表者の附記,,0,8
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,,発表者の附記,,0,8
内,名詞,非自立,副詞可能,*,*,*,内,ウチ,ウチ,,発表者の附記,,0,8
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,発表者の附記,,0,8
、,記号,読点,*,*,*,*,、,、,、,,発表者の附記,,0,8
これ,名詞,代名詞,一般,*,*,*,これ,コレ,コレ,,発表者の附記,,0,8
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,発表者の附記,,0,8
是非,名詞,サ変接続,*,*,*,*,是非,ゼヒ,ゼヒ,,発表者の附記,,0,8
発表,名詞,サ変接続,*,*,*,*,発表,ハッピョウ,ハッピョー,,発表者の附記,,0,8
し,動詞,自立,*,*,サ変・スル,未然形,する,シ,シ,,発表者の附記,,0,8
なけれ,助動詞,*,*,*,特殊・ナイ,仮定形,ない,ナケレ,ナケレ,,発表者の附記,,0,8
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ,,発表者の附記,,0,8
なら,動詞,非自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ,,発表者の附記,,0,8
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,,発表者の附記,,0,8
と,助詞,接続助詞,*,*,*,*,と,ト,ト,,発表者の附記,,0,8
心,名詞,一般,*,*,*,*,心,ココロ,ココロ,,発表者の附記,,0,8
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,発表者の附記,,0,8
極め,動詞,自立,*,*,一段,連用形,極める,キワメ,キワメ,,発表者の附記,,0,8
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,発表者の附記,,0,8
程,名詞,非自立,一般,*,*,*,程,ホド,ホド,,発表者の附記,,0,8
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,,発表者の附記,,0,8
