表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,しのびよる怪物,3,10
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ,しのびよる怪物,3,10
まわし,動詞,自立,*,*,五段・サ行,連用形,まわす,マワシ,マワシ,しのびよる怪物,3,10
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,しのびよる怪物,3,10
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,しのびよる怪物,3,10
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,しのびよる怪物,3,10
、,記号,読点,*,*,*,*,、,、,、,しのびよる怪物,3,10
べつに,副詞,一般,*,*,*,*,べつに,ベツニ,ベツニ,しのびよる怪物,3,10
変わっ,動詞,自立,*,*,五段・ラ行,連用タ接続,変わる,カワッ,カワッ,しのびよる怪物,3,10
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,しのびよる怪物,3,10
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,しのびよる怪物,3,10
も,助詞,係助詞,*,*,*,*,も,モ,モ,しのびよる怪物,3,10
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,しのびよる怪物,3,10
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,しのびよる怪物,3,10
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,しのびよる怪物,3,10
。,記号,句点,*,*,*,*,。,。,。,しのびよる怪物,3,10
しばらく,副詞,助詞類接続,*,*,*,*,しばらく,シバラク,シバラク,しのびよる怪物,3,11
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,しのびよる怪物,3,11
と,助詞,接続助詞,*,*,*,*,と,ト,ト,しのびよる怪物,3,11
、,記号,読点,*,*,*,*,、,、,、,しのびよる怪物,3,11
また,接続詞,*,*,*,*,*,また,マタ,マタ,しのびよる怪物,3,11
カリカリ,名詞,形容動詞語幹,*,*,*,*,カリカリ,カリカリ,カリカリ,しのびよる怪物,3,11
と,助詞,格助詞,引用,*,*,*,と,ト,ト,しのびよる怪物,3,11
、,記号,読点,*,*,*,*,、,、,、,しのびよる怪物,3,11
こんど,名詞,副詞可能,*,*,*,*,こんど,コンド,コンド,しのびよる怪物,3,11
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,しのびよる怪物,3,11
、,記号,読点,*,*,*,*,、,、,、,しのびよる怪物,3,11
ごく,副詞,一般,*,*,*,*,ごく,ゴク,ゴク,しのびよる怪物,3,11
近く,名詞,副詞可能,*,*,*,*,近く,チカク,チカク,しのびよる怪物,3,11
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,しのびよる怪物,3,11
聞こえ,動詞,自立,*,*,一段,連用形,聞こえる,キコエ,キコエ,しのびよる怪物,3,11
て,助詞,接続助詞,*,*,*,*,て,テ,テ,しのびよる怪物,3,11
