表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
更に,副詞,助詞類接続,*,*,*,*,更に,サラニ,サラニ,,（上）顕れたる事実,,0,230
笑み,動詞,自立,*,*,五段・マ行,連用形,笑む,エミ,エミ,,（上）顕れたる事実,,0,230
くずし,動詞,自立,*,*,五段・サ行,連用形,くずす,クズシ,クズシ,,（上）顕れたる事実,,0,230
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,（上）顕れたる事実,,0,230
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,（上）顕れたる事実,,0,230
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,,（上）顕れたる事実,,0,230
。,記号,句点,*,*,*,*,。,。,。,,（上）顕れたる事実,,0,230
罪,名詞,一般,*,*,*,*,罪,ツミ,ツミ,,（上）顕れたる事実,,0,231
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,,（上）顕れたる事実,,0,231
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,,（上）顕れたる事実,,0,231
雑談,名詞,サ変接続,*,*,*,*,雑談,ザツダン,ザツダン,,（上）顕れたる事実,,0,231
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,（上）顕れたる事実,,0,231
花,名詞,一般,*,*,*,*,花,ハナ,ハナ,,（上）顕れたる事実,,0,231
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,（上）顕れたる事実,,0,231
咲い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,咲く,サイ,サイ,,（上）顕れたる事実,,0,231
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,（上）顕れたる事実,,0,231
、,記号,読点,*,*,*,*,、,、,、,,（上）顕れたる事実,,0,231
陽気,名詞,形容動詞語幹,*,*,*,*,陽気,ヨウキ,ヨーキ,,（上）顕れたる事実,,0,231
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,（上）顕れたる事実,,0,231
笑声,名詞,一般,*,*,*,*,笑声,ショウセイ,ショーセイ,,（上）顕れたる事実,,0,231
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,（上）顕れたる事実,,0,231
座敷,名詞,一般,*,*,*,*,座敷,ザシキ,ザシキ,,（上）顕れたる事実,,0,231
一,名詞,数,*,*,*,*,一,イチ,イチ,,（上）顕れたる事実,,0,231
杯,名詞,接尾,助数詞,*,*,*,杯,ハイ,ハイ,,（上）顕れたる事実,,0,231
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,（上）顕れたる事実,,0,231
拡がり,動詞,自立,*,*,五段・ラ行,連用形,拡がる,ヒロガリ,ヒロガリ,,（上）顕れたる事実,,0,231
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,,（上）顕れたる事実,,0,231
。,記号,句点,*,*,*,*,。,。,。,,（上）顕れたる事実,,0,231
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,,（上）顕れたる事実,,0,232
席,名詞,一般,*,*,*,*,席,セキ,セキ,,（上）顕れたる事実,,0,232
で,助詞,格助詞,一般,*,*,*,で,デ,デ,,（上）顕れたる事実,,0,232
どんな,連体詞,*,*,*,*,*,どんな,ドンナ,ドンナ,,（上）顕れたる事実,,0,232
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,,（上）顕れたる事実,,0,232
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,（上）顕れたる事実,,0,232
話さ,動詞,自立,*,*,五段・サ行,未然形,話す,ハナサ,ハナサ,,（上）顕れたる事実,,0,232
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,,（上）顕れたる事実,,0,232
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,（上）顕れたる事実,,0,232
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,,（上）顕れたる事実,,0,232
、,記号,読点,*,*,*,*,、,、,、,,（上）顕れたる事実,,0,232
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,,（上）顕れたる事実,,0,232
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,（上）顕れたる事実,,0,232
ここ,名詞,代名詞,一般,*,*,*,ここ,ココ,ココ,,（上）顕れたる事実,,0,232
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,（上）顕れたる事実,,0,232
記す,動詞,自立,*,*,五段・サ行,基本形,記す,シルス,シルス,,（上）顕れたる事実,,0,232
必要,名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー,,（上）顕れたる事実,,0,232
も,助詞,係助詞,*,*,*,*,も,モ,モ,,（上）顕れたる事実,,0,232
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,,（上）顕れたる事実,,0,232
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,,（上）顕れたる事実,,0,232
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,,（上）顕れたる事実,,0,232
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,,（上）顕れたる事実,,0,232
、,記号,読点,*,*,*,*,、,、,、,,（上）顕れたる事実,,0,232
ただ,名詞,一般,*,*,*,*,ただ,タダ,タダ,,（上）顕れたる事実,,0,232
次,名詞,接尾,一般,*,*,*,次,ジ,ジ,,（上）顕れたる事実,,0,232
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,（上）顕れたる事実,,0,232
会話,名詞,サ変接続,*,*,*,*,会話,カイワ,カイワ,,（上）顕れたる事実,,0,232
丈,名詞,一般,*,*,*,*,丈,タケ,タケ,,（上）顕れたる事実,,0,232
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,（上）顕れたる事実,,0,232
一寸,副詞,一般,*,*,*,*,一寸,チョット,チョット,,（上）顕れたる事実,,0,232
読者,名詞,一般,*,*,*,*,読者,ドクシャ,ドクシャ,,（上）顕れたる事実,,0,232
諸君,名詞,一般,*,*,*,*,諸君,ショクン,ショクン,,（上）顕れたる事実,,0,232
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,（上）顕れたる事実,,0,232
興味,名詞,一般,*,*,*,*,興味,キョウミ,キョーミ,,（上）顕れたる事実,,0,232
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,（上）顕れたる事実,,0,232
惹き,動詞,自立,*,*,五段・カ行イ音便,連用形,惹く,ヒキ,ヒキ,,（上）顕れたる事実,,0,232
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,（上）顕れたる事実,,0,232
し,動詞,自立,*,*,サ変・スル,未然形,する,シ,シ,,（上）顕れたる事実,,0,232
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,,（上）顕れたる事実,,0,232
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,,（上）顕れたる事実,,0,232
と,助詞,格助詞,引用,*,*,*,と,ト,ト,,（上）顕れたる事実,,0,232
思い,動詞,自立,*,*,五段・ワ行促音便,連用形,思う,オモイ,オモイ,,（上）顕れたる事実,,0,232
